1;Agatha Christie;Autobiografia;;autobiografia/pamiętnik
2;Albert Camus;Człowiek zbuntowany;;literatura piękna/klasyka
3;Albert Camus;Dżuma;;literatura piękna/klasyka
4;Albert Camus;Obcy;;literatura piękna/klasyka
5;Albert Camus;Upadek;;literatura piękna/klasyka
6;Albert Camus;Wygnanie i królestwo;;literatura piękna/klasyka
7;Aldous Huxley;Kontrapunkt;;literatura piękna/klasyka
8;Aldous Huxley;Drzwi percepcji;;publicystyka literacka/esej
9;Aldous Huxley;Filozofia wieczysta;;publicystyka literacka/esej
10;Aldous Huxley;Niebo i piekło;;publicystyka literacka/esej
11;Aldous Huxley;Małpa i duch;;science fiction
12;Aldous Huxley;Nowy wspaniały świat;;science fiction
13;Aldous Huxley;Wyspa;;science fiction
14;Aleksander Sołżenicyn;Oddział chorych na raka;;literatura piękna/klasyka
15;Aleksander Sołżenicyn;Archipelag GUŁag. 1918-1956;;publicystyka literacka/esej
16;Aleksander Sołżenicyn;Jeden dzień Iwana Denisowicza;;publicystyka literacka/esej
17;Aleksander Sołżenicyn;Krąg pierwszy;;publicystyka literacka/esej
18;Andrzej Iwan;Spalony;;autobiografia/pamiętnik
19;Andrzej Sapkowski;Boży bojownicy;Trylogia husycka;fantasy
20;Andrzej Sapkowski;Lux perpetua;Trylogia husycka;fantasy
21;Andrzej Sapkowski;Narrenturm;Trylogia husycka;fantasy
22;Andrzej Sapkowski;Chrzest ognia;Wiedźmin Geralt z Rivii;fantasy
23;Andrzej Sapkowski;Czas pogardy;Wiedźmin Geralt z Rivii;fantasy
24;Andrzej Sapkowski;Krew elfów;Wiedźmin Geralt z Rivii;fantasy
25;Andrzej Sapkowski;Miecz przeznaczenia;Wiedźmin Geralt z Rivii;fantasy
26;Andrzej Sapkowski;Ostatnie życzenie;Wiedźmin Geralt z Rivii;fantasy
27;Andrzej Sapkowski;Pani Jeziora;Wiedźmin Geralt z Rivii;fantasy
28;Andrzej Sapkowski;Sezon burz;Wiedźmin Geralt z Rivii;fantasy
29;Andrzej Sapkowski;Wieża Jaskółki;Wiedźmin Geralt z Rivii;fantasy
30;Angelika Kuźniak;Stryjeńska. Diabli nadali;;autobiografia/pamiętnik
31;Anna Kamińska;Simona. Opowieść o niezwyczajnym życiu Simony Kossak;;biografia
32;Anna Kamińska;Wanda. Opowieść o sile życia i śmierci. Historia Wandy Rutkiewicz;;biografia
33;Arthur C. Clarke;2001: Odyseja Kosmiczna;Odyseja Kosmiczna;science fiction
34;Arthur C. Clarke;2010: odyseja kosmiczna;Odyseja Kosmiczna;science fiction
35;Arthur C. Clarke;2061: odyseja kosmiczna;Odyseja Kosmiczna;science fiction
36;Arthur C. Clarke;3001: Odyseja kosmiczna. Finał;Odyseja Kosmiczna;science fiction
37;Arthur Conan Doyle;Nowe objawienie: Co to jest spirytyzm?;;publicystyka literacka/esej
38;Arthur Conan Doyle;Dolina Strachu;Sherlock Holmes;thriller/sensacja/kryminał
39;Arthur Conan Doyle;Pies Baskervillów;Sherlock Holmes;thriller/sensacja/kryminał
40;Arthur Conan Doyle;Powrót Sherlocka Holmesa;Sherlock Holmes;thriller/sensacja/kryminał
41;Arthur Conan Doyle;Pożegnalny ukłon;Sherlock Holmes;thriller/sensacja/kryminał
42;Arthur Conan Doyle;Przygody Sherlocka Holmesa;Sherlock Holmes;thriller/sensacja/kryminał
43;Arthur Conan Doyle;Studium w szkarłacie;Sherlock Holmes;thriller/sensacja/kryminał
44;Arthur Conan Doyle;Wspomnienia Sherlocka Holmesa;Sherlock Holmes;thriller/sensacja/kryminał
45;Arthur Conan Doyle;Znak czterech;Sherlock Holmes;thriller/sensacja/kryminał
46;Arthur Conan Doyle;Dziwne zjawiska;;thriller/sensacja/kryminał
47;Arthur Conan Doyle;Przygody brygadiera Gerarda;;thriller/sensacja/kryminał
48;Artur Domosławski;Kapuściński non-fiction;;biografia
49;Ashlee Vance;Elon Musk. Biografia twórcy PayPala, Tesli i SpaceX;;biografia
50;Boel Westin;Tove Jansson: Mama Muminków;;biografia
51;Bolesław Prus;Faraon;;literatura piękna/historyczne
52;Bolesław Prus;Anielka;;literatura piękna/klasyka
53;Bolesław Prus;Antek;;literatura piękna/klasyka
54;Bolesław Prus;Emancypantki;;literatura piękna/klasyka
55;Bolesław Prus;Kamizelka;;literatura piękna/klasyka
56;Bolesław Prus;Lalka;;literatura piękna/klasyka
57;Bolesław Prus;Powracająca fala;;literatura piękna/klasyka
58;C. S. Lewis;Smutek;;autobiografia/pamiętnik
59;C. S. Lewis;Książę Kaspian;Opowieści z Narnii;fantasy
60;C. S. Lewis;Lew, czarownica i stara szafa;Opowieści z Narnii;fantasy
61;C. S. Lewis;Podróż Wędrowca do Świtu;Opowieści z Narnii;fantasy
62;C. S. Lewis;Dopóki mamy twarze;;literatura piękna/klasyka
63;C. S. Lewis;Podział ostateczny;;literatura piękna/klasyka
64;Camilla Läckberg;Fabrykantka aniołków;Saga o Fjällbace;thriller/sensacja/kryminał
65;Camilla Läckberg;Kamieniarz;Saga o Fjällbace;thriller/sensacja/kryminał
66;Camilla Läckberg;Kaznodzieja;Saga o Fjällbace;thriller/sensacja/kryminał
67;Camilla Läckberg;Księżniczka z lodu;Saga o Fjällbace;thriller/sensacja/kryminał
68;Camilla Läckberg;Latarnik;Saga o Fjällbace;thriller/sensacja/kryminał
69;Camilla Läckberg;Niemiecki bękart;Saga o Fjällbace;thriller/sensacja/kryminał
70;Camilla Läckberg;Ofiara losu;Saga o Fjällbace;thriller/sensacja/kryminał
71;Camilla Läckberg;Syrenka;Saga o Fjällbace;thriller/sensacja/kryminał
72;Camilla Läckberg;Morderstwa i woń migdałów;;thriller/sensacja/kryminał
73;Camilla Läckberg;Pogromca lwów;;thriller/sensacja/kryminał
74;Carlos Ruiz Zafón;Cień wiatru;Cmentarz Zapomnianych Książek;literatura piękna/klasyka
75;Carlos Ruiz Zafón;Gra Anioła;Cmentarz Zapomnianych Książek;literatura piękna/klasyka
76;Carlos Ruiz Zafón;Labirynt duchów;Cmentarz Zapomnianych Książek;literatura piękna/klasyka
77;Carlos Ruiz Zafón;Więzień Nieba;Cmentarz Zapomnianych Książek;literatura piękna/klasyka
78;Charles Bukowski;Faktotum;;literatura piękna/klasyka
79;Charles Bukowski;Kobiety;;literatura piękna/klasyka
80;Charles Bukowski;Szmira;;literatura piękna/klasyka
81;Charles Bukowski;Listonosz;;literatura współczesna
82;Charles Bukowski;Z szynką raz!;;literatura współczesna
83;Charles Bukowski;Zapiski starego świntucha;;publicystyka literacka/esej
84;Charles Dickens;Dawid Copperfield;;literatura piękna/klasyka
85;Charles Dickens;Oliver Twist;;literatura piękna/klasyka
86;Charles Dickens;Opowieść o dwóch miastach;;literatura piękna/klasyka
87;Charles Dickens;Opowieść wigilijna;;literatura piękna/klasyka
88;Charles Dickens;Samotnia;;literatura piękna/klasyka
89;Charles Dickens;Wielkie Nadzieje;;literatura piękna/klasyka
90;Christiane Felscherinow;My, dzieci z dworca ZOO;;autobiografia/pamiętnik
91;Christiane Felscherinow;Życie mimo wszystko;;autobiografia/pamiętnik
92;Dan Brown;Anioły i demony;;thriller/sensacja/kryminał
93;Dan Brown;Cyfrowa twierdza;;thriller/sensacja/kryminał
94;Dan Brown;Inferno;;thriller/sensacja/kryminał
95;Dan Brown;Kod Leonarda da Vinci;;thriller/sensacja/kryminał
96;Dan Brown;Zaginiony symbol;;thriller/sensacja/kryminał
97;Dariusz Kortko;Religa. Biografia najsłynniejszego polskiego kardiochirurga;;biografia
98;David Mitchell;Atlas chmur;;science fiction
99;Diane Ducret;Kobiety dyktatorów;;biografia
100;Donald Spoto;Oczarowanie. Życie Audrey Hepburn;;biografia
101;Edgar Allan Poe;Czarny kot;;literatura piękna/klasyka
102;Edgar Allan Poe;Opowiadania;;literatura piękna/klasyka
103;Edgar Allan Poe;Opowieści niesamowite;;literatura piękna/klasyka
104;Edgar Allan Poe;Zagłada domu Usherów;;literatura piękna/klasyka
105;Elizabeth Gilbert;Jedz, módl się, kochaj;;autobiografia/pamiętnik
106;Emil Zola;Brzuch Paryża;Rougon-Macquartowie;literatura piękna/klasyka
107;Emil Zola;Dzieło;Rougon-Macquartowie;literatura piękna/klasyka
108;Emil Zola;Germinal;Rougon-Macquartowie;literatura piękna/klasyka
109;Emil Zola;Grzech księdza Mouret;Rougon-Macquartowie;literatura piękna/klasyka
110;Emil Zola;Jego ekscelencja Pan Minister Rougon;Rougon-Macquartowie;literatura piękna/klasyka
111;Emil Zola;Kartka miłości;Rougon-Macquartowie;literatura piękna/klasyka
112;Emil Zola;Kuchenne schody;Rougon-Macquartowie;literatura piękna/klasyka
113;Emil Zola;Nana;Rougon-Macquartowie;literatura piękna/klasyka
114;Emil Zola;Pochodzenie rodziny Rougon-Macquartów;Rougon-Macquartowie;literatura piękna/klasyka
115;Emil Zola;Podbój miasta Plassans;Rougon-Macquartowie;literatura piękna/klasyka
116;Emil Zola;Radość życia;Rougon-Macquartowie;literatura piękna/klasyka
117;Emil Zola;W matni;Rougon-Macquartowie;literatura piękna/klasyka
118;Emil Zola;Wszystko dla pań;Rougon-Macquartowie;literatura piękna/klasyka
119;Emil Zola;Zdobycz;Rougon-Macquartowie;literatura piękna/klasyka
120;Emil Zola;Ziemia;Rougon-Macquartowie;literatura piękna/klasyka
121;Ernest Hemingway;Komu bije dzwon;;literatura piękna/klasyka
122;Ernest Hemingway;Mieć i nie mieć;;literatura piękna/klasyka
123;Ernest Hemingway;Pożegnanie z bronią;;literatura piękna/klasyka
124;Ernest Hemingway;Rajski ogród;;literatura piękna/klasyka
125;Ernest Hemingway;Słońce też wschodzi;;literatura piękna/klasyka
126;Ernest Hemingway;Stary człowiek i morze;;literatura piękna/klasyka
127;Ernest Hemingway;Zielone wzgórza Afryki;;literatura piękna/klasyka
128;Fiodor Dostojewski;Białe noce;;literatura piękna/klasyka
129;Fiodor Dostojewski;Biesy;;literatura piękna/klasyka
130;Fiodor Dostojewski;Bracia Karamazow;;literatura piękna/klasyka
131;Fiodor Dostojewski;Idiota;;literatura piękna/klasyka
132;Fiodor Dostojewski;Łagodna. Opowiadanie fantastyczne;;literatura piękna/klasyka
133;Fiodor Dostojewski;Wspomnienia z martwego domu;;literatura piękna/klasyka
134;Fiodor Dostojewski;Zbrodnia i kara;;literatura piękna/klasyka
135;Franz Kafka;Proces;;literatura piękna/klasyka
136;Franz Kafka;Przemiana;;literatura piękna/klasyka
137;Franz Kafka;Wyrok;;literatura piękna/klasyka
138;Franz Kafka;Zamek;;literatura piękna/klasyka
139;Gabriel García Márquez;Miłość w czasach zarazy;;literatura piękna/klasyka
140;Gabriel García Márquez;Rzecz o mych smutnych dziwkach;;literatura piękna/klasyka
141;Gabriel García Márquez;Sto lat samotności;;literatura piękna/klasyka
142;George Orwell;Folwark zwierzęcy;;literatura piękna/klasyka
143;George Orwell;Brak tchu;;literatura współczesna
144;George Orwell;Na dnie w Paryżu i Londynie;;literatura współczesna
145;George Orwell;Rok 1984;;literatura współczesna
146;George R.R. Martin;Gra o tron;Pieśń Lodu i Ognia;fantasy
147;George R.R. Martin;Nawałnica mieczy #1: Stal i śnieg;Pieśń Lodu i Ognia;fantasy
148;George R.R. Martin;Nawałnica mieczy #2: Krew i złoto;Pieśń Lodu i Ognia;fantasy
149;George R.R. Martin;Starcie królów;Pieśń Lodu i Ognia;fantasy
150;George R.R. Martin;Taniec ze smokami #1;Pieśń Lodu i Ognia;fantasy
151;George R.R. Martin;Taniec ze smokami #2;Pieśń Lodu i Ognia;fantasy
152;George R.R. Martin;Uczta dla wron #1: Cienie śmierci;Pieśń Lodu i Ognia;fantasy
153;George R.R. Martin;Uczta dla wron #2: Sieć spisków;Pieśń Lodu i Ognia;fantasy
154;George R.R. Martin;Światło odległych gwiazd;Retrospektywa;science fiction
155;George R.R. Martin;Wędrowny rycerz;Retrospektywa;science fiction
156;George R.R. Martin;Żeglarze nocy;Retrospektywa;science fiction
157;George R.R. Martin;Światło się mroczy;;science fiction
158;George R.R. Martin;Tuf Wędrowiec;;science fiction
159;Giovanni Boccaccio;Dekameron;;literatura piękna/klasyka
160;Giovanni Boccaccio;O słynnych kobietach;;literatura piękna/klasyka
161;Grzegorz Brzozowicz;Cejrowski. Biografia;;biografia
162;Gustaw Herling-Grudziński;Inny świat;;autobiografia/pamiętnik
163;Gustaw Herling-Grudziński;Gorący oddech pustyni;;literatura współczesna
164;Gustaw Herling-Grudziński;Opowiadania zebrane;;literatura współczesna
165;Gustaw Herling-Grudziński;Skrzydła ołtarza;;literatura współczesna
166;Gustaw Herling-Grudziński;Dziennik pisany nocą 1971-1972;;publicystyka literacka/esej
167;Halina Birenbaum;Nadzieja umiera ostatnia. Wyprawa w przeszłość;;autobiografia/pamiętnik
168;Halszka Opfer;Kato-tata. Nie pamiętnik;;autobiografia/pamiętnik
169;Harlan Coben;Bez skrupułów;Myron Bolitar;thriller/sensacja/kryminał
170;Harlan Coben;Bez śladu;Myron Bolitar;thriller/sensacja/kryminał
171;Harlan Coben;Błękitna krew;Myron Bolitar;thriller/sensacja/kryminał
172;Harlan Coben;Jeden fałszywy ruch;Myron Bolitar;thriller/sensacja/kryminał
173;Harlan Coben;Krótka piłka;Myron Bolitar;thriller/sensacja/kryminał
174;Harlan Coben;Nie mów nikomu;;thriller/sensacja/kryminał
175;Harlan Coben;W głębi lasu;;thriller/sensacja/kryminał
176;Haruki Murakami;O czym mówię, kiedy mówię o bieganiu;;autobiografia/pamiętnik
177;Heinz Heger;Mężczyźni z różowym trójkątem;;autobiografia/pamiętnik
178;Henryk Sienkiewicz;Ogniem i mieczem;Trylogia Sienkiewicza;literatura piękna/historyczne
179;Henryk Sienkiewicz;Pan Wołodyjowski;Trylogia Sienkiewicza;literatura piękna/historyczne
180;Henryk Sienkiewicz;Potop;Trylogia Sienkiewicza;literatura piękna/historyczne
181;Henryk Sienkiewicz;Krzyżacy;;literatura piękna/historyczne
182;Henryk Sienkiewicz;Quo vadis;;literatura piękna/historyczne
183;Henryk Sienkiewicz;W pustyni i w puszczy;;literatura piękna/klasyka
184;Hunter S. Thompson;Anioły piekieł;;literatura współczesna
185;Hunter S. Thompson;Dziennik rumowy;;literatura współczesna
186;Hunter S. Thompson;Lęk i odraza w Las Vegas;;literatura współczesna
187;Irving Stone;Pasje utajone;;biografia
188;J.R.R. Tolkien;Listy;;autobiografia/pamiętnik
189;J.R.R. Tolkien;Drużyna Pierścienia;Władca Pierścieni;fantasy
190;J.R.R. Tolkien;Dwie wieże;Władca Pierścieni;fantasy
191;J.R.R. Tolkien;Powrót Króla;Władca Pierścieni;fantasy
192;J.R.R. Tolkien;Beowulf. Przekład i komentarz;;fantasy
193;J.R.R. Tolkien;Beren i Lúthien;;fantasy
194;J.R.R. Tolkien;Dzieci Húrina;;fantasy
195;J.R.R. Tolkien;Hobbit;;fantasy
196;J.R.R. Tolkien;Niedokończone opowieści;;fantasy
197;J.R.R. Tolkien;Przygody Toma Bombadila;;fantasy
198;J.R.R. Tolkien;Silmarillion;;fantasy
199;Jacek Dukaj;Córka łupieżcy;;science fiction
200;Jacek Dukaj;Czarne oceany;;science fiction
201;Jacek Dukaj;Extensa;;science fiction
202;Jacek Dukaj;Inne pieśni;;science fiction
203;Jacek Dukaj;Katedra;;science fiction
204;Jacek Dukaj;Król Bólu;;science fiction
205;Jacek Dukaj;Lód;;science fiction
206;Jacek Dukaj;Perfekcyjna niedoskonałość;;science fiction
207;Jacek Dukaj;W kraju niewiernych;;science fiction
